Name,Team,Age,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PTS/G,TS%,USG%,EXP,DPOSS,DRAYMOND
Brandon Ingram,NOP,21,0.6,1.8,0.33,6.4,12.2,0.521,3.8,5.6,0.675,18.3,0.555,23.2,3,3850,1.148983
Lonzo Ball,NOP,21,1.6,4.9,0.329,2.3,4.9,0.482,0.4,1,0.417,9.9,0.487,17.8,2,3122.003,1.001462
JJ Redick,NOP,35,3.2,8,0.397,2.8,5.6,0.502,3,3.4,0.894,18.1,0.602,21.9,13,6067.598,-0.4425428
Derrick Favors,NOP,28,0.2,1,0.218,4.6,7.1,0.64,2,3,0.675,11.8,0.624,19.4,9,4036.296,3.741363
Jamal Murray,DEN,21,2,5.5,0.367,4.8,10.1,0.476,2.5,3,0.848,18.2,0.538,24.9,3,6100.31,-0.526793
Nikola Jokic,DEN,23,1,3.4,0.307,6.7,11.7,0.569,3.6,4.4,0.821,20.1,0.589,27.4,4,6262.942,0.8719797
Gary Harris,DEN,24,1.4,4.2,0.339,3.3,6.9,0.476,2,2.5,0.799,12.9,0.526,20,5,4427.221,1.41911
Will Barton,DEN,28,1.6,4.6,0.342,2.7,6.1,0.447,1.3,1.7,0.77,11.5,0.501,20,7,3154.591,-0.9997097
Paul Millsap,DEN,33,0.8,2.3,0.365,3.8,7.2,0.522,2.6,3.6,0.727,12.6,0.57,19.6,13,4865.898,0.5895746
Monte Morris,DEN,23,1.1,2.8,0.414,3.1,5.8,0.531,0.8,1,0.802,10.4,0.577,17.1,2,4560.982,-0.6163935
Malik Beasley,DEN,22,2,5,0.402,2.3,4.1,0.56,0.7,0.8,0.848,11.3,0.599,18.7,3,4532.263,-1.876715
Joe Harris,BKN,27,2.4,5.1,0.474,2.5,4.8,0.528,1.4,1.8,0.827,13.7,0.645,17,5,5271.171,0.0170489
Spencer Dinwiddie,BKN,25,1.8,5.4,0.335,3.6,6.7,0.528,4.2,5.2,0.806,16.8,0.58,24.9,5,4394.559,0.7671269
Caris LeVert,BKN,24,1.2,3.9,0.312,4,8.2,0.483,2.1,3.1,0.691,13.7,0.509,24,3,2592.982,-0.9719455
Jarrett Allen,BKN,20,0.1,0.6,0.133,4.1,6.5,0.629,2.5,3.5,0.709,10.9,0.632,15.9,2,4773.596,0.8708782
Kyrie Irving,BKN,27,2.6,6.5,0.401,6.4,12,0.533,3.2,3.7,0.873,23.8,0.592,29.6,8,5434.451,-1.011272
DeAndre Jordan,BKN,31,0,0,0,4.1,6.5,0.634,2.7,3.5,0.773,10.9,0.681,16.8,11,4299.975,0.8333448
Rodions Kurucs,BKN,21,0.9,2.9,0.315,2.3,4.2,0.543,1.1,1.5,0.783,8.5,0.545,18.4,1,3040.998,0.2775877
Luka Doncic,DAL,19,2.3,7.1,0.327,4.7,9.3,0.503,4.8,6.7,0.713,21.2,0.545,30.5,1,4912.229,-0.809001
Tim Hardaway Jr.,DAL,26,2.4,7.4,0.321,3.3,6.7,0.496,1.7,2.3,0.767,15.5,0.514,23.9,6,4344.809,-1.159507
Dorian Finney-Smith,DAL,25,1,3.1,0.311,1.8,3.4,0.544,0.9,1.3,0.709,7.5,0.53,14,3,4199.516,1.308235
Jalen Brunson,DAL,22,0.9,2.5,0.348,2.8,5.3,0.523,1.2,1.6,0.725,9.3,0.549,19.1,1,3346.072,-0.9378428
Dwight Powell,DAL,27,0.5,1.6,0.307,3.3,4.7,0.699,2.5,3.3,0.772,10.6,0.682,17.2,5,3445.365,0.8911924
Kristaps Porzingis,DAL,24,1.9,4.8,0.395,6.3,13.8,0.454,4.5,5.7,0.793,22.7,0.539,31,3,3182.679,2.35305
Seth Curry,DAL,28,1.5,3.4,0.45,1.3,2.9,0.463,0.6,0.7,0.846,7.9,0.595,16.6,5,3615.459,1.030651
Aaron Gordon,ORL,23,1.6,4.4,0.349,4.5,9,0.499,2.4,3.2,0.731,16,0.538,21.8,5,5817.49,-0.0558359
Evan Fournier,ORL,26,1.9,5.6,0.34,3.9,7.6,0.509,1.7,2.1,0.806,15.1,0.536,22.1,7,5641.95,-0.5612842
Nikola Vucevic,ORL,28,1.1,2.9,0.364,7.7,14,0.549,2.2,2.8,0.789,20.8,0.573,28,8,5514.724,0.9354314
D.J. Augustin,ORL,31,1.6,3.8,0.421,2.3,4.5,0.511,2.2,2.6,0.866,11.7,0.616,17.2,11,4989.847,-1.766095
Jonathan Isaac,ORL,21,1.1,3.5,0.323,2.3,4.6,0.51,1.5,1.8,0.815,9.6,0.537,16.3,2,4456.008,0.6100996
Terrence Ross,ORL,27,2.7,7,0.383,2.8,5.7,0.484,1.6,1.8,0.875,15.1,0.561,23.9,7,4803.834,-1.142614
Al-Farouq Aminu,ORL,28,1.2,3.5,0.343,2,3.9,0.514,1.9,2.1,0.867,9.4,0.568,13.7,9,5689.188,-0.9228402
Harrison Barnes,SAC,26,1.9,4.6,0.408,3.1,6.4,0.489,2.3,2.9,0.8,14.3,0.578,16.3,7,5415.456,-0.424637
Buddy Hield,SAC,26,3.4,7.9,0.427,4.2,8.6,0.487,2.1,2.4,0.886,20.7,0.587,25.1,3,5743.739,-0.2196209
De'Aaron Fox,SAC,21,1.1,2.9,0.371,5.2,10.7,0.482,3.7,5.1,0.727,17.3,0.544,24.5,2,5626.129,-0.1688833
Bogdan Bogdanovic,SAC,26,1.9,5.3,0.36,3.2,7,0.462,1.9,2.3,0.827,14.1,0.53,22.3,2,4204.709,-0.4795555
Marvin Bagley III,SAC,19,0.5,1.5,0.313,5.3,9.8,0.534,2.9,4.2,0.691,14.9,0.562,24.2,1,3418.345,-0.2957602
Nemanja Bjelica,SAC,30,1.3,3.3,0.401,2.4,4.4,0.539,0.9,1.2,0.761,9.6,0.585,16.5,4,3949.617,1.758008
Trevor Ariza,SAC,34,2.2,6.9,0.322,2.6,5,0.528,2.2,2.8,0.777,14.1,0.538,18.2,15,4996.725,-3.245167
Kevin Knox,NYK,19,1.7,4.9,0.343,2.8,7.3,0.387,2.2,3,0.717,12.8,0.475,22.3,1,4595.641,-1.416293
Dennis Smith Jr.,NYK,21,1.1,4,0.289,4.6,10,0.462,2,3.5,0.568,14.7,0.473,27,2,3200.071,1.153498
Mitchell Robinson,NYK,20,0,0,0,3.1,4.4,0.694,1.2,2,0.6,7.3,0.692,12.1,1,2881.5,3.322126
Julius Randle,NYK,24,0.9,2.7,0.344,6.9,12.2,0.564,4.9,6.7,0.731,21.4,0.6,27.8,5,4889.475,-0.4054253
Bobby Portis,NYK,24,1.7,4.3,0.403,3.9,8.5,0.458,1.4,1.7,0.809,14.3,0.53,23.3,4,2772.841,-1.499604
Marcus Morris,NYK,29,1.9,5.2,0.375,3.1,6.1,0.508,1.9,2.3,0.844,13.9,0.568,20.9,8,5008.733,-0.3261464
Wayne Ellington,NYK,31,2.9,7.8,0.373,1.2,2,0.607,0.9,1.2,0.758,12,0.584,17.7,10,2965.246,0.0152497
Damian Lillard,POR2,28,3,8,0.369,5.6,11.1,0.499,5.9,6.4,0.912,25.8,0.588,29.3,7,7338.427,0.4037808
CJ McCollum,POR2,27,2.4,6.4,0.375,5.8,11.4,0.506,2.3,2.7,0.828,21,0.553,25.5,6,6339.989,0.6987391
Jusuf Nurkic,POR2,24,0,0.4,0.103,5.8,11.1,0.523,3.9,5.1,0.773,15.6,0.57,24.7,5,4212.434,3.026743
Rodney Hood,POR2,26,1.1,3.1,0.345,2.6,4.9,0.519,1.2,1.5,0.805,9.6,0.549,16.3,5,4642.278,0.1224949
Zach Collins,POR2,21,0.5,1.6,0.331,1.9,3.6,0.534,1.2,1.6,0.746,6.6,0.562,16.6,2,3419.074,0.4894518
Hassan Whiteside,POR2,30,0,0.2,0.125,5.4,9.2,0.581,1.5,3.4,0.449,12.3,0.564,22.6,7,3489.593,2.885669
Kent Bazemore,POR2,30,1.4,4.5,0.32,2.7,5.8,0.465,1.9,2.6,0.726,11.6,0.507,22,7,3658.071,-1.071889
Klay Thompson,GSW2,28,3.1,7.7,0.402,5.3,10.3,0.516,1.7,2,0.816,21.5,0.571,25.6,8,7393.754,0.8049982
Stephen Curry,GSW2,30,5.1,11.7,0.437,4,7.7,0.525,3.8,4.2,0.916,27.3,0.641,30.4,10,6851.972,-0.4162706
